14.06.2019;One person died and two more were injured after a gunman entered a Costco in Southern California.
26.06.2019;The Supreme Court ruled to give President Trump $2.5 billion to fund his wall. The court ruled in a 5–4 vote.
03.08.2019;23 people are killed and another 23 are injured in a mass shooting at a Walmart in El Paso, Texas.
04.08.2019;A gunman opened fire on a bar in Dayton, Ohio. He killed nine people and injured another 27.
10.08.2019;Financier and convicted sex offender Jeffrey Epstein is found dead in his prison cell under mysterious circumstances. It was declared a suicide by hanging, although the ruling is widely disputed.
12.08.2019;An anonymous whistleblower filed a complaint against Donald Trump and Rudy Giuliani, claiming that the two sought foreign intervention in the 2020 presidential election. This complaint would lead to an investigation into the Trump-Ukraine scandal.
24.09.2019;Speaker of the House Nancy Pelosi announces the House of Representatives would begin an impeachment inquiry against Donald Trump.
18.12.2019;The U.S. House of Representatives impeaches President of Donald J. Trump for high crimes and misdemeanors.
21.01.2020;The first patient in the United States is diagnosed with coronavirus.
26.01.2020;Kobe Bryant, along with his daughter and 7 others, perished in a helicopter crash.
05.02.2020;The majority of the United States Senate voted to acquit Donald Trump of charges related to the Trump-Ukraine scandal.
11.03.2020;Coronavirus declared a global pandemic, leading to a global shut-down.
26.02.2020;6 people are killed in a mass shooting in Milwaukee, Wisconsin, before the perpetrator killed himself.
25.05.2020;George Floyd, an African-American man living in Minneapolis, was killed during an arrest. Subsequently, protests and riots ensued.
02.10.2020;President Donald Trump and First Lady Melania Trump are diagnosed with COVID-19. The former is taken to Walter Reed hospital.
07.11.2020;U.S. presidential election, 2020: Four days after election day, former Vice President Joe Biden is elected the 46th President, defeating Donald Trump. Biden's running mate, Kamala Harris, is elected the 49th Vice President, becoming the first woman and the first African-American to hold that office.
14.12.2020;The first shots of the Pfizer COVID-19 vaccine are given out.
